case,heads,sequences,tokens,max_chunks,chunk_heads,k2_ctas,mode,round,median_us,min_us,max_us
equal_n1,12,1,8192,512,6144,12,k1,0,42.3552006483078,42.00640022754669,42.502400279045105
equal_n1,12,1,8192,512,6144,12,full,0,788.6015892028809,788.5471820831299,789.024019241333
equal_n1,12,1,8192,512,6144,12,k2,0,744.1760063171387,743.7759876251221,744.3552017211914
equal_n1,12,1,8192,512,6144,12,k2,1,744.1120147705078,743.9616203308105,744.3999767303467
equal_n1,12,1,8192,512,6144,12,k1,1,42.20159947872162,42.10880100727081,42.65600144863129
equal_n1,12,1,8192,512,6144,12,full,1,788.4799957275391,788.4448051452637,789.1263961791992
equal_n1,12,1,8192,512,6144,12,k1,2,42.156800627708435,42.0991986989975,42.27519929409027
equal_n1,12,1,8192,512,6144,12,k2,2,742.6527976989746,742.3295974731445,742.9376125335693
equal_n1,12,1,8192,512,6144,12,full,2,788.7167930603027,788.4448051452637,788.915205001831
equal_n1,12,1,8192,512,6144,12,k1,3,42.27840006351471,42.102399468421936,42.33280122280121
equal_n1,12,1,8192,512,6144,12,k2,3,742.409610748291,742.2912120819092,742.6655769348145
equal_n1,12,1,8192,512,6144,12,full,3,788.4928226470947,788.2688045501709,788.6847972869873
equal_n1,12,1,8192,512,6144,12,k1,4,42.17920005321503,42.06719994544983,42.29759871959686
equal_n1,12,1,8192,512,6144,12,full,4,787.8623962402344,787.6416206359863,788.7104034423828
equal_n1,12,1,8192,512,6144,12,k2,4,744.0095901489258,743.7920093536377,744.7264194488525
equal_n2,12,2,8192,256,6144,24,full,0,420.46399116516113,419.9903964996338,420.71681022644043
equal_n2,12,2,8192,256,6144,24,k1,0,42.156800627708435,42.102399468421936,42.32319891452789
equal_n2,12,2,8192,256,6144,24,k2,0,376.6304016113281,376.4064073562622,376.8127918243408
equal_n2,12,2,8192,256,6144,24,k1,1,42.233601212501526,42.00640022754669,42.31039881706238
equal_n2,12,2,8192,256,6144,24,k2,1,377.2639989852905,377.23519802093506,377.6832103729248
equal_n2,12,2,8192,256,6144,24,full,1,420.2432155609131,419.974422454834,420.5376148223877
equal_n2,12,2,8192,256,6144,24,k1,2,42.105600237846375,41.91359877586365,42.29440093040466
equal_n2,12,2,8192,256,6144,24,k2,2,377.1359920501709,376.93119049072266,377.459192276001
equal_n2,12,2,8192,256,6144,24,full,2,420.4160213470459,419.76962089538574,420.87039947509766
equal_n2,12,2,8192,256,6144,24,k1,3,42.19200015068054,41.93919897079468,42.19520092010498
equal_n2,12,2,8192,256,6144,24,k2,3,377.2128105163574,377.0143985748291,377.2480010986328
equal_n2,12,2,8192,256,6144,24,full,3,420.37439346313477,420.22080421447754,420.6655979156494
equal_n2,12,2,8192,256,6144,24,k1,4,42.105600237846375,42.048001289367676,42.54080057144165
equal_n2,12,2,8192,256,6144,24,full,4,420.4160213470459,419.9999809265137,420.8000183105469
equal_n2,12,2,8192,256,6144,24,k2,4,376.39360427856445,376.310396194458,376.4352083206177
equal_n4,12,4,8192,128,6144,48,full,0,236.22400760650635,235.92960834503174,236.26880645751953
equal_n4,12,4,8192,128,6144,48,k1,0,42.153599858284,41.942399740219116,42.27199852466583
equal_n4,12,4,8192,128,6144,48,k2,0,193.24159622192383,192.85119771957397,193.3184027671814
equal_n4,12,4,8192,128,6144,48,k2,1,193.22240352630615,192.92160272598267,193.25439929962158
equal_n4,12,4,8192,128,6144,48,k1,1,42.0991986989975,42.080000042915344,42.13440120220184
equal_n4,12,4,8192,128,6144,48,full,1,236.26880645751953,236.0640048980713,236.3840103149414
equal_n4,12,4,8192,128,6144,48,full,2,236.23359203338623,236.22078895568848,236.4896059036255
equal_n4,12,4,8192,128,6144,48,k1,2,42.131200432777405,41.868799924850464,42.36159920692444
equal_n4,12,4,8192,128,6144,48,k2,2,193.26720237731934,193.2255983352661,193.2927966117859
equal_n4,12,4,8192,128,6144,48,k1,3,42.20480024814606,41.88160002231598,42.32639968395233
equal_n4,12,4,8192,128,6144,48,k2,3,192.8928017616272,192.6751971244812,193.09439659118652
equal_n4,12,4,8192,128,6144,48,full,3,236.21759414672852,235.99679470062256,236.25280857086182
equal_n4,12,4,8192,128,6144,48,full,4,236.2015962600708,236.0447883605957,236.40639781951904
equal_n4,12,4,8192,128,6144,48,k1,4,42.076799273490906,41.971200704574585,42.127999663352966
equal_n4,12,4,8192,128,6144,48,k2,4,193.31519603729248,193.2703971862793,193.4432029724121
equal_n8,12,8,8192,64,6144,96,full,0,144.35839653015137,144.25280094146729,144.96959447860718
equal_n8,12,8,8192,64,6144,96,k2,0,101.46880149841309,101.34079456329346,101.56160593032837
equal_n8,12,8,8192,64,6144,96,k1,0,42.4703985452652,42.30400025844574,42.67840087413788
equal_n8,12,8,8192,64,6144,96,k1,1,42.29440093040466,42.25600063800812,42.51199960708618
equal_n8,12,8,8192,64,6144,96,k2,1,101.51360034942627,101.30560398101807,101.72799825668335
equal_n8,12,8,8192,64,6144,96,full,1,144.56000328063965,144.39040422439575,144.68799829483032
equal_n8,12,8,8192,64,6144,96,k2,2,101.37920379638672,101.34079456329346,101.60319805145264
equal_n8,12,8,8192,64,6144,96,full,2,144.55360174179077,144.48000192642212,144.85759735107422
equal_n8,12,8,8192,64,6144,96,k1,2,42.29440093040466,42.2432005405426,42.54080057144165
equal_n8,12,8,8192,64,6144,96,k2,3,101.4847993850708,101.46880149841309,101.70559883117676
equal_n8,12,8,8192,64,6144,96,k1,3,42.35199987888336,42.28479862213135,42.502400279045105
equal_n8,12,8,8192,64,6144,96,full,3,144.5472002029419,144.4640040397644,144.7551965713501
equal_n8,12,8,8192,64,6144,96,k2,4,101.53599977493286,101.46239995956421,102.00639963150024
equal_n8,12,8,8192,64,6144,96,k1,4,42.29440093040466,42.156800627708435,42.3552006483078
equal_n8,12,8,8192,64,6144,96,full,4,144.56640481948853,144.55679655075073,144.7648048400879
equal_n16,12,16,8192,32,6144,192,full,0,116.17599725723267,116.10560417175293,116.61759614944458
equal_n16,12,16,8192,32,6144,192,k2,0,73.83679747581482,73.64799976348877,73.85920286178589
equal_n16,12,16,8192,32,6144,192,k1,0,42.2432005405426,42.07040071487427,42.38080084323883
equal_n16,12,16,8192,32,6144,192,k2,1,73.62560033798218,73.60640168190002,74.0447998046875
equal_n16,12,16,8192,32,6144,192,k1,1,42.27519929409027,42.09280014038086,42.29440093040466
equal_n16,12,16,8192,32,6144,192,full,1,116.42559766769409,116.31040573120117,116.64960384368896
equal_n16,12,16,8192,32,6144,192,k1,2,42.29440093040466,41.97440147399902,42.34879910945892
equal_n16,12,16,8192,32,6144,192,full,2,116.45760536193848,116.22079610824585,116.5120005607605
equal_n16,12,16,8192,32,6144,192,k2,2,73.67680072784424,73.60640168190002,74.05760288238525
equal_n16,12,16,8192,32,6144,192,k2,3,73.83360266685486,73.66719841957092,73.9296019077301
equal_n16,12,16,8192,32,6144,192,full,3,116.37120246887207,116.11520051956177,116.4512038230896
equal_n16,12,16,8192,32,6144,192,k1,3,42.156800627708435,42.09280014038086,42.53439903259277
equal_n16,12,16,8192,32,6144,192,full,4,116.43520593643188,116.24000072479248,116.4896011352539
equal_n16,12,16,8192,32,6144,192,k1,4,42.3007994890213,42.11519956588745,42.53439903259277
equal_n16,12,16,8192,32,6144,192,k2,4,73.65760207176208,73.64799976348877,73.86559844017029
skew8,12,8,8192,288,6144,96,full,0,466.87679290771484,466.69440269470215,467.16160774230957
skew8,12,8,8192,288,6144,96,k1,0,44.36799883842468,44.19200122356415,44.601601362228394
skew8,12,8,8192,288,6144,96,k2,0,420.1183795928955,419.9872016906738,420.2432155609131
skew8,12,8,8192,288,6144,96,k1,1,44.44800019264221,44.22079920768738,44.65920031070709
skew8,12,8,8192,288,6144,96,full,1,467.0464038848877,466.4383888244629,467.18077659606934
skew8,12,8,8192,288,6144,96,k2,1,420.2335834503174,420.0863838195801,420.2784061431885
skew8,12,8,8192,288,6144,96,k1,2,44.47360038757324,44.176000356674194,44.63360011577606
skew8,12,8,8192,288,6144,96,full,2,467.0400142669678,466.80641174316406,467.139196395874
skew8,12,8,8192,288,6144,96,k2,2,420.2688217163086,420.2303886413574,420.42880058288574
skew8,12,8,8192,288,6144,96,k1,3,44.40959990024567,44.33920085430145,44.84480023384094
skew8,12,8,8192,288,6144,96,k2,3,419.9103832244873,419.7535991668701,419.97761726379395
skew8,12,8,8192,288,6144,96,full,3,466.67518615722656,466.5696144104004,466.8447971343994
skew8,12,8,8192,288,6144,96,k2,4,420.4224109649658,420.22080421447754,420.67198753356934
skew8,12,8,8192,288,6144,96,full,4,466.73598289489746,466.4991855621338,466.91198348999023
skew8,12,8,8192,288,6144,96,k1,4,44.55040097236633,44.35519874095917,44.71040070056915
ragged6,12,6,8192,192,6180,72,k1,0,44.412800669670105,44.31999921798706,44.64640021324158
ragged6,12,6,8192,192,6180,72,k2,0,286.4543914794922,286.44158840179443,286.7072105407715
ragged6,12,6,8192,192,6180,72,full,0,332.65600204467773,332.41920471191406,332.80959129333496
ragged6,12,6,8192,192,6180,72,full,1,332.5023889541626,332.43839740753174,332.6303958892822
ragged6,12,6,8192,192,6180,72,k2,1,286.26880645751953,286.1952066421509,286.4383935928345
ragged6,12,6,8192,192,6180,72,k1,1,44.53119933605194,44.29759979248047,44.64319944381714
ragged6,12,6,8192,192,6180,72,full,2,332.45439529418945,332.28158950805664,332.64639377593994
ragged6,12,6,8192,192,6180,72,k2,2,286.26561164855957,286.10239028930664,286.44158840179443
ragged6,12,6,8192,192,6180,72,k1,2,44.412800669670105,44.32640075683594,44.835200905799866
ragged6,12,6,8192,192,6180,72,k2,3,286.61439418792725,286.19840145111084,286.678409576416
ragged6,12,6,8192,192,6180,72,k1,3,44.361600279808044,44.1567987203598,44.412800669670105
ragged6,12,6,8192,192,6180,72,full,3,332.5439929962158,332.32319355010986,332.66239166259766
ragged6,12,6,8192,192,6180,72,k2,4,286.19840145111084,286.1599922180176,286.41600608825684
ragged6,12,6,8192,192,6180,72,full,4,332.37760066986084,332.1536064147949,332.7552080154419
ragged6,12,6,8192,192,6180,72,k1,4,44.34239864349365,44.20799911022186,44.65920031070709
equal8_varlen,12,8,8192,64,6144,96,full,0,148.44160079956055,148.16319942474365,148.63040447235107
